Rowid_,VALUE_,COUNT_,FAOSOIL
,1,18103,Rx1-2c
,2,67553,GL
,3,24252,WAT
,4,7035,Rx1-2a
,5,1082,Rx1-b
,6,2421,I-Gx-Rx-c
,7,766,Rx3-2b
,8,65,NO DATA
,9,1934,I-Rx-Ox-2bc
,10,459,I-Rx-2c
,11,5064,Gx10-2ab
,12,982,Rx1-3b
,13,1554,I-Rx-2b
,14,2862,Gx3-2ab
,15,11584,Gx8-2ab
,16,949,Rx3-1a
,17,291,I-Rx-2a
,18,2471,I-Rx-1a
,19,4131,Gx9-2ab
,20,575,Gx12-2a
,21,21532,Rx2-1b
,22,4830,Oe1-a
,23,725,Gx11-2a
,24,24868,I-Gx-Rx-2c
,25,1047,Rx1-1c
,26,2680,Rx5-1/2a
,27,632,Rx4-2a
,28,534,Gx6-2a
,29,698,J2-2a
,30,138,Gx9-2a
,31,11394,Bx4-2a
,32,1354,Ox7-a
,33,3946,Jd7-2a
,34,29540,I-Bx-Dd-2c
,35,2179,Gx7-2a
,36,9745,Od1-a
,37,1261,Gx4-2ab
,38,2188,Bx6-3b
,39,1699,I-Re-Rx-1b
,40,2261,Bx3-2a
,41,9540,Po32-1/2ab
,42,1351,Je79-2a
,43,1463,Bx4-2b
,44,500,Gx3-2/3a
,45,1078,Rx4-1a
,46,51,Gx3-1a
,47,3024,Gx5-2ab
,48,4228,Rx5-2a
,49,1720,Po35-1b
,50,4953,Bx7-2ab
,51,570,Po44-1/2ab
,52,4807,I-Bx-Rc-2c
,53,242,Je27-3a
,54,2582,I-Rx-Bx-1bc
,55,718,Po45-1ab
,56,1107,I-Bd-Dd-2c
,57,852,I-Po-1/2b
,58,770,Bx5-3a
,59,446,Od24-a
,60,587,I-Po-Od-1/2b
,61,26,Gx8-3ab
,62,758,Po2-1ab
,63,43,Gx2-1b
,64,282,I-Rx-1c
,65,241,Gx1-2a
,66,1292,Gx5-2bc
,67,1669,Od23-a
,68,1,Gx8-1ab
,69,3072,Je87-2/3a
,70,1265,Re14-1b
,71,1055,Rx2-1a
,72,5913,Gd19-2bc
,73,2226,Gd23-1ab
,74,266,Gd23-2ab
,75,2546,Gd18-2ab
,76,3249,Ox5-2/3a
