CASE,SNAME,DESCRIP
1,,
2,AB,Albeluvisols
3,AC,Acrisols
4,AN,Andosols
5,AR,Arenosols
6,CA,Calcisols
7,CH,Chernozems
8,CL,Calcisols
9,CM,Cambisols
10,CR,Cryosols
11,DU,Durisols
12,FL,Fluvisols
13,FR,Ferralsols
14,gl,Glaciers
15,GL,Gleysols
16,GY,Gypsisols
17,HR,Histosols(HR)
18,HS,Histosols(HS)
19,KS,Kastanozems
20,LP,Leptosols(LP)
21,LR,Leptosols(LR)
22,LV,Luvisols
23,LX,Lixisols
24,NT,Nitosols
25,PH,Phaeozems
26,PL,Planosols
27,PT,Plinthosols
28,PZ,Podzols
29,RG,Regosols
30,SC,Solonchaks
31,UM,Umbrisols
32,VR,Vertisols
33,WAT,Waterbodies
34,,
35,,
36,,
