Latitude,Longitude,MAT,MAP
-73.25,81.25,-33.12,182.59
0.75,-64.75,24.87,2664.82
-0.75,-64.75,26.14,2572.59
-86.75,-11.75,-45.42,30.96
-86.75,11.75,-48.04,19.51
40.25,54.75,15.4,124.95
-34.25,-63.75,16.43,844.24
34.25,63.75,5.2,328.64
42.75,45.75,3.03,621.96
-36.75,-60.25,14.35,929.75
36.75,60.25,14.43,190.86
44.25,-94.25,7.35,723.92
44.25,94.25,10.45,106.02
65.25,-85.75,-12.54,266.73
18.25,-15.25,26.44,116.91
18.25,15.25,27.87,21.1
-18.25,15.25,22.99,364.91
65.25,85.75,-5.22,557.28
40.75,-93.75,10.36,898.86
40.75,93.75,7.84,42.79
-7.75,113.25,26.75,1116.93
38.25,-98.25,12.1,684.09
38.25,98.25,-6.07,289.28
36.75,50.25,7.41,873.48
74.25,-55.75,-10.54,196.34
74.25,55.75,-6.1,293.93
-74.25,55.75,-37.08,315.89
62.75,35.75,1.42,645.29
50.25,135.75,-4.94,543.74
25.75,71.25,26.99,259.62
25.25,88.25,25.03,1400.84
44.25,44.75,10.39,371.61
19.25,20.25,28,48.7
-19.25,20.25,22.43,528.3
-14.25,-70.25,1.7,974.98
-81.75,-119.75,-24.82,55.53
-81.75,119.75,-50.89,36.95
62.25,173.25,-7.11,412.32
55.25,-115.25,0.28,520.2
55.25,115.25,-10.66,370.49
61.25,-140.25,-10.35,390.21
61.25,140.25,-14.83,397.92
3.25,25.75,24.57,1708.92
-3.25,25.75,24.44,1592.63
8.25,28.25,27.76,1000.07
-8.25,28.25,21.97,1083.7
52.75,-84.75,-2.05,452.75
52.75,84.75,1.83,568.74
-73.25,156.25,-30.5,421.89
-73.75,156.75,-30.06,370.72
41.75,-94.75,9.16,833.45
41.75,94.75,6.24,51.81
68.75,108.75,-12.58,266.91
-68.75,108.75,-25.28,412.99
37.75,-121.75,14.81,373.65
62.75,13.75,1.39,527.02
-86.75,-32.75,-43.47,38.51
-86.75,32.75,-49.74,12.6
1.25,12.75,23.19,1644.74
-1.25,12.75,23.22,1766.33
51.75,-96.25,0.86,533.92
51.75,96.25,-9.81,227.19
61.25,70.75,-1.81,539.11
63.25,-113.25,-5.87,278.61
79.75,-57.75,-24.69,112.9
-79.75,57.75,-55.62,32.04
63.25,113.25,-9.28,350.46
40.25,-79.25,10.74,1066.96
40.25,79.25,12.49,104.16
55.25,-126.75,-1.14,586.62
13.75,32.75,28.68,272.89
-13.75,32.75,21.39,1023.41
55.25,126.75,-6.03,584.31
65.25,-106.75,-10.21,222
65.25,106.75,-13.3,329.7
27.75,111.25,17.28,1373.81
48.25,134.75,2.05,590.3
66.75,55.75,-3.33,460.74
-66.75,55.75,-17.39,546.05
61.75,83.25,-3.7,556.97
-74.25,119.75,-50.51,131.7
7.25,-5.25,26.26,1050.63
7.25,5.25,25.65,1502.37
51.25,-102.75,1.61,471.47
18.75,29.75,27.54,28.2
-18.75,29.75,20.99,699.88
19.75,33.25,27.44,18.99
-19.75,33.25,21.75,1150.06
24.75,-11.75,24.48,37.87
24.75,11.75,22.57,16
71.25,150.25,-14.63,171.01
-71.25,150.25,-28.31,589.21
50.25,-95.25,1.6,532.41
50.25,95.25,-4.06,208.17
67.75,112.25,-12.59,291.53
-67.75,112.25,-18.65,410.65
45.75,48.25,10.31,198.63
-86.75,-20.25,-44.38,34.27
-86.75,20.25,-48.72,15.84
-15.25,-68.75,15.62,1087.66
13.25,-16.75,25.83,953.74
13.25,16.75,29.04,357.7
