Code,1-Yield_C_Mean,2-BD_C_Mean,3-OC_C_Mean,4-N_C_Mean,5-Aggre_C_Mean,6-Infiltration_C_Mean,7-Ksat_C_Mean,8-Erosion_C_Mean,9-Runoff_C_Mean,10-Leaching_C_Mean,11-Weed_C_Mean,12-MBC_C_Mean,13-MBN_C_Mean
Arid_Corn_Grass_Coarse,-25.35071893,-3.742964281,18.64063339,-23.35947935,4.502874112,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,13.29011089,5.061637066
Arid_Corn_Grass_Fine,-25.35071893,-3.742964281,18.64063339,-23.35947935,17.16363701,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,30.23198657,27.97011268
Arid_Corn_Grass_Medium,-25.35071893,-2.923907192,18.6051385,-23.35947935,3.165748078,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,3.689410312,-4.28437399
Arid_Corn_Grass_NotAvailable,-25.35071893,-3.279677905,18.64063339,-23.35947935,2.865503927,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,13.29011089,5.061637066
Arid_Corn_Legume_Coarse,-25.39454944,-3.742964281,27.28527891,-31.47566516,4.502874112,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,16.86679087,-19.72270451
Arid_Corn_Legume_Fine,-25.39454944,-3.742964281,29.88371822,-28.09068892,59.43379633,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,16.86679087,-19.5117732
Arid_Corn_Legume_Medium,-25.39454944,-5.218677886,20.99036402,-34.18227853,-38.25925218,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,16.86679087,-19.72270451
Arid_Corn_Legume_NotAvailable,-25.39454944,-3.279677905,27.28527891,-31.47566516,2.865503927,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,16.86679087,-19.72270451
Arid_Corn_MTT_Coarse,-25.35071893,-3.742964281,21.03076701,21.88231416,4.502874112,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,42.14222991,54.14557133
Arid_Corn_MTT_Fine,-25.35071893,-3.742964281,21.03076701,21.88231416,99.59380004,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,42.14222991,54.14557133
Arid_Corn_MTT_Medium,-25.35071893,-4.06112915,21.03076701,21.88231416,-13.4629919,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,42.14222991,54.14557133
Arid_Corn_MTT_NotAvailable,-25.35071893,-3.180399666,21.18056241,21.76794331,2.874272993,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,41.58027726,54.62156191
Arid_Corn_OtherCC_Coarse,-28.34796465,-3.742964281,-12.1521466,-23.35947935,4.502874112,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,25.10331125,11.31576034
Arid_Corn_OtherCC_Fine,-28.34796465,-3.742964281,-12.1521466,-23.35947935,99.59380004,74.3849314,4.848620842,-64.79775419,-73.35195517,-61.8666331,-45.10739563,25.10331125,11.31576034
